Parent App ID,From Application (Consumes),Consuming App Environment,parent.sys_class_name,Type,Child App ID,To Application (Provides),Providing App Environment,child.sys_class_name,Connection strength,sys_updated_on
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,J3OB,J3OB-JATNS-TAPKGX-TAPKGX TY YENKTBVBFOIR-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,ZECC,ZECC-ZHCBEW LNVSTELARUTU HNF HUVROKPNNAIQX ZETFIVLG-Wrqnuvawbu,Production,Application Service,Occasional,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8FVE,8FVE-MINO ARCXSEHHVVN BTKVIMF-Wrqnuvawbu,Production,Application Service,Always,06-06-2024 18:28
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,LCT,LCT-LNVORIYWFL JUUDOFLF YEEYGGPHVVN-Wrqnuvawbu,Production,Application Service,Always,07-07-2024 10:55
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,VPU,VPU-VNNSNX WAAWEGA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,W2EBD,W2EBD-WUUR AO JATN-WRQNUVAWBU,Production,Application Service,Cluster,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,JCQNS,JCQNS-JRU JATNS VDU-WRQNUVAWBU,Production,Application Service,Always,3/28/2024 3:21
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,GOQDM,GOQDM-Goqd Lnvoriywfls-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,JIUX,JIUX-JRU PNVOGKHHVVN ZETFIVLG-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,MSTF,MSTF-MRCED ZETFIVLG-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,KTFC,KTFC-KIISTTS ARWCTXK KAVK ZOWBCX-Wrqnuvawbu,Production,Application Service,Occasional,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,ZIOC,ZIOC-ZIOC Huvregawphtkyn-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,ZEDC,ZEDC-ZHCBEW LNVSTELARUTU IUUSNXZG ZETFIVLG-WRQNUVAWBU,Production,Application Service,Occasional,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,KIEO,KIEO-KIISTTS JRGNIM HCSEILPHVVN-WRQNUVAWBU,Production,Application Service,Always,07-05-2024 11:24
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,JCDC,JCDC-Jrgnim Jatn Iuusnxzg Zetfivlg-Wrqnuvawbu,Production,Application Service,Always,06-06-2024 18:28
8BCKS,8BCKS-DENVS MATQO NAVOWTF-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,6CWC,6CWC-DFC JUUDOFLF YENKTBVBFOIR KOOKIG-WRQNUVAWBU,Production,Application Service,Always,07-09-2024 10:33
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,HSFO,HSFO-Hprvivhbvn Zeeerx Kavk Lxeragns-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,PVU,PVU-JHGMK PMCQE-PVU-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,HNI,HNI-Hlgbtl Uezd Neportawbu-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,WMYOB,WMYOB-WAAWEGA TAPKGXY-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,JCUZNW,JCUZNW-Jatns-Tapkgx Ty Yenktbvbfoir-Zpgxd-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,HPU,HPU-HCEYUGA & WRQNUVA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,JUUD,JUUD-LCU-JUUDOFLF TIEBOLLFIPCGC-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,05-09-2025 12:51
8BCKS,8BCKS-DENVS MATQO NAVOWTF-Wrqnuvawbu,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:24
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,1/22/2026 23:17
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,1/22/2026 23:18
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Always,11/14/2021 12:19
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Always,10/18/2024 0:31
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Always,11/14/2021 12:21
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,Production,Application Service,Always,05-02-2025 20:12
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,HPU,HPU-HCEYUGA & WRQNUVA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,ZTUNM,ZTUNM-Joowugphl Iapuign Kavk Datohhbgr-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,HPU,HPU-HCEYUGA & WRQNUVA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,DAT,DAT-KIUZUMLG HUVYMTASQ ARCMKBUU-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,JX8,JX8-Jrgnim Iutoan Tofsfbjogpop Bpfktx Yeryrmpbt Zyudef-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,JCKFR,JCKFR-JUUDOFLF JOPXEVAWBU PVT-Wrqnuvawbu,Production,Application Service,Always,12/13/2024 19:11
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,MSTF,MSTF-MRCED ZETFIVLG-WRQNUVAWBU,Production,Application Service,Infrequent,06-06-2024 18:40
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,DIOCF,DIOCF-DIO ZANOSYVFPL-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Infrequent,06-06-2024 18:40
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,HNI,HNI-Hlgbtl Uezd Neportawbu-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,KCDC,KCDC-KEDST JATN IUUSNXZG ZETFIVLG-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,YWU,YWU-YEVKIE DED ZETFIVLG-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,LCRB,LCRB-LNVOR JUUD WRQPIEL YEH-JS-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,JIX,JIX-JIX-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Depends on::Used by,VSOZ,VSOZ-VNNSNX ZANOS HNF TATUEMPBT WLCDFHYA-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8BFL,8BFL-LCEYS-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,5/21/2025 11:18
8BFL,8BFL-LCEYS-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,Production,Application Service,Always,06-02-2025 21:51
8BFL,8BFL-LCEYS-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,HNI,HNI-Hlgbtl Uezd Neportawbu-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,VPU,VPU-VNNSNX WAAWEGA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,SOISN,SOISN-SOISN HPRVIVHHVVN-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,HPU,HPU-HCEYUGA & WRQNUVA ZETFIVLG-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,ZAOV,ZAOV-ZEEERX HSUORMPCA TATUUI SAPQUTNS-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Always,05-12-2025 09:09
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,ZIOC,ZIOC-ZIOC Huvregawphtkyn-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,OJ,OJ-OOIKN VDU/WAU-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,ZAOV2,ZAOV2-Zeeerx Hsuormpca Tatuui Sapqutns (9)-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,6CWC,6CWC-DFC JUUDOFLF YENKTBVBFOIR KOOKIG-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Occasional,06-06-2024 18:40
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Occasional,06-06-2024 18:40
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8CCF,8CCF-JOPDEGA HCEOSL ZETFIVLG PNHBALAFHJTWBE-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,IMY,IMY-Todslx Irquekhur-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,EC,EC-TODSUL VNNSNX HRERIOL HNF CIGGIGN-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Always,5/21/2025 11:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8WQMA,8WQMA-DIO VMPS JHCXNXS HDOSN-WRQNUVAWBU,Production,Application Service,Always,1/22/2026 23:17
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,DIDDP,DIDDP-Denvs Pnvorglh Iapuign Arcxsylf hnf Waawega-Wrqnuvawbu,Production,Application Service,Always,06-06-2024 18:28
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,Production,Application Service,Always,06-02-2025 21:54
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8CEMS,8CEMS-Vng Jonvevawbus Joowog Jarkbbswgf Zetfivlg-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/22/2024 14:46
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,9CPC,9CPC-JOPCUFLF JOPDAVA UOVSFBJOGPOP ZYUDEF-WRQNUVAWBU,Production,Application Service,Always,05-04-2026 16:29
8BFL,8BFL-LCEYS-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8CEMS,8CEMS-VNG JONVEVAWBUS JOOWOG JARKBBSWGF ZETFIVLG-WRQNUVAWBU,Production,Application Service,Always,11/22/2024 14:45
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,AMU,AMU-ARCXSTJHVVN TAPKGXTSAA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Always,1/23/2025 10:58
8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Depends on::Used by,TGGHT,TGGHT-KDV-LXUDRXHA YEOYTX JONVAU LWU KDED-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
