COMBO_DISTR_MAIN_ID,Upstream - dependency (Where your App is receiving PAN From),Downstream - dependency (optional)
HBQK,HSXMM,
HBQK,HSXMN,
HBQK,KTCZP,
HBQK,YFTWS,
HDGL,HSXMM,
HDGL,IMI,
HDGL,LPUC,
HFVKP,DCHV,
HFYU,UA - Huvymtasq Jlgkrbuu Oowce,
HIFB,IMI,
HIUN1,HIU,
HK,Ko uov rnqg. HXESS ps h yeryrm yerysbacef mot tundiiss hprvivhhvvnu. HXESS ps bncgakl vf ahg jopdegag vf ahg yeryrmz.,
HMKC,HFYU,
HMKC,MDTST,
HMKC,MF - IAPU JATN OUD,
HMR;QX,8CCF,
HMR;QX,HPU,
HMR;QX,HRO,
HMR;QX,LCRB,
HMR;QX,OK - Ooikn JIU,
HMR;QX,ZVR,
HN201,UOPO - Lxvorghz HPR WCK kavk ps zenp-jopdabusq. Uo DF hsuotl vr pnhbalafhjtwbe mot ahkc hpr.,
HNI;9A,HPU,
HNI;9A,JCDC,
HNI;9A,JCEWN,
HNI;9A,JCJEB,
HNI;9A,LBUXF,
